,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12
class_0,0,-0.38510673,-0.047835123,-0.20282343,0.46975849,0.70433879,0.3634499,0.14759685,-0.15074187,-0.12788001,0.71074342,-0.17003442,0.36418637
class_1,-0.38510673,0,-0.22177001,0.1355958,-0.10557423,-0.17578561,-0.041628426,-0.097424915,0.19276244,0.16661438,-0.21152923,0.19042614,0.26722408
class_2,-0.047835123,-0.22177001,0,0.001059932,-0.11940272,-0.098643388,0.041220506,0.073918977,-0.42337991,-0.42458263,-0.06890946,0.06757224,-0.15720806
class_3,-0.20282343,0.1355958,0.001059932,0,0.068194642,-0.16140325,-0.11212393,-0.010579021,0.10329212,0.092448819,-0.15771962,0.68114018,-0.16278944
class_4,0.46975849,-0.10557423,-0.11940272,0.068194642,0,0.61105101,-0.069675182,0.19412994,-0.12379141,-0.13856558,0.6748071,-0.03881888,0.20532891
class_5,0.70433879,-0.17578561,-0.098643388,-0.16140325,0.61105101,0,0.17184725,0.27341815,-0.27701518,-0.27747499,0.80184032,-0.058905306,0.42178846
class_6,0.3634499,-0.041628426,0.041220506,-0.11212393,-0.069675182,0.17184725,0,-0.0807816,0.018674964,0.062428777,0.11036088,0.018573444,0.10168864
class_7,0.14759685,-0.097424915,0.073918977,-0.010579021,0.19412994,0.27341815,-0.0807816,0,-0.1840903,-0.20875796,0.30077942,0.032575283,0.12230593
class_8,-0.15074187,0.19276244,-0.42337991,0.10329212,-0.12379141,-0.27701518,0.018674964,-0.1840903,0,0.92722492,-0.22940054,0.068890587,-0.12217424
class_9,-0.12788001,0.16661438,-0.42458263,0.092448819,-0.13856558,-0.27747499,0.062428777,-0.20875796,0.92722492,0,-0.2732241,0.10025934,-0.061183879
class_10,0.71074342,-0.21152923,-0.06890946,-0.15771962,0.6748071,0.80184032,0.11036088,0.30077942,-0.22940054,-0.2732241,0,-0.050946666,0.33172837
class_11,-0.17003442,0.19042614,0.06757224,0.68114018,-0.03881888,-0.058905306,0.018573444,0.032575283,0.068890587,0.10025934,-0.050946666,0,-0.071837049
class_12,0.36418637,0.26722408,-0.15720806,-0.16278944,0.20532891,0.42178846,0.10168864,0.12230593,-0.12217424,-0.061183879,0.33172837,-0.071837049,0
