,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12
class_0,0,-0.31923761,-0.10294907,-0.25699493,0.61772667,0.72562387,0.35313924,0.16505992,-0.11981299,-0.069482677,0.73846052,-0.20425122,0.43251061
class_1,-0.31923761,0,-0.17324248,0.1468499,-0.046835087,-0.12225536,-0.033261992,-0.076158391,0.14145275,0.12891213,-0.14348577,0.17112463,0.28421045
class_2,-0.10294907,-0.17324248,0,-0.0070269885,-0.11380845,-0.097725307,-0.085474487,0.034951021,-0.44861981,-0.43530065,-0.052105028,0.087665392,-0.13117495
class_3,-0.25699493,0.1468499,-0.0070269885,0,-0.028561399,-0.16262949,-0.11831518,-0.13964239,0.086912989,0.093523694,-0.15456121,0.69895947,-0.16001791
class_4,0.61772667,-0.046835087,-0.11380845,-0.028561399,0,0.74767545,0.00071886388,0.28929244,-0.1892214,-0.17033752,0.7670734,-0.094197642,0.3425699
class_5,0.72562387,-0.12225536,-0.097725307,-0.16262949,0.74767545,0,0.13051317,0.30411156,-0.26055191,-0.24532386,0.83603096,-0.080699354,0.45622799
class_6,0.35313924,-0.033261992,-0.085474487,-0.11831518,0.00071886388,0.13051317,0,-0.19883427,0.061299751,0.12318218,0.12917635,-0.015699191,0.09752749
class_7,0.16505992,-0.076158391,0.034951021,-0.13964239,0.28929244,0.30411156,-0.19883427,0,-0.17747491,-0.2003952,0.35741246,-0.0074717764,0.13913362
class_8,-0.11981299,0.14145275,-0.44861981,0.086912989,-0.1892214,-0.26055191,0.061299751,-0.17747491,0,0.91797493,-0.2583167,0.0062317242,-0.091419272
class_9,-0.069482677,0.12891213,-0.43530065,0.093523694,-0.17033752,-0.24532386,0.12318218,-0.2003952,0.91797493,0,-0.27653176,0.056584953,-0.019682485
class_10,0.73846052,-0.14348577,-0.052105028,-0.15456121,0.7670734,0.83603096,0.12917635,0.35741246,-0.2583167,-0.27653176,0,-0.034678116,0.3907416
class_11,-0.20425122,0.17112463,0.087665392,0.69895947,-0.094197642,-0.080699354,-0.015699191,-0.0074717764,0.0062317242,0.056584953,-0.034678116,0,-0.076437246
class_12,0.43251061,0.28421045,-0.13117495,-0.16001791,0.3425699,0.45622799,0.09752749,0.13913362,-0.091419272,-0.019682485,0.3907416,-0.076437246,0
