,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12
class_0,0,-0.28770623,-0.014963249,-0.19027384,0.59084489,0.68427813,0.30628768,0.1302517,-0.19105754,-0.16252712,0.70345776,-0.20659023,0.36183346
class_1,-0.28770623,0,-0.24961886,0.12150536,0.0074024556,-0.085761079,0.043221995,-0.091078249,0.1618573,0.17131393,-0.097766774,0.19112283,0.27295842
class_2,-0.014963249,-0.24961886,0,0.029227933,-0.10038618,-0.052628457,0.061535653,0.087359491,-0.42671994,-0.42134377,-0.10161157,0.11697767,-0.13944203
class_3,-0.19027384,0.12150536,0.029227933,0,-0.0083993946,-0.099280672,-0.021927471,-0.01648236,0.10313835,0.11514111,-0.13958546,0.66778227,-0.14923909
class_4,0.59084489,0.0074024556,-0.10038618,-0.0083993946,0,0.71168012,0.027742821,0.23897638,-0.18165834,-0.19680947,0.77760976,-0.019607427,0.33166936
class_5,0.68427813,-0.085761079,-0.052628457,-0.099280672,0.71168012,0,0.10397282,0.27470362,-0.3221819,-0.33055803,0.82189706,-0.016579434,0.41963565
class_6,0.30628768,0.043221995,0.061535653,-0.021927471,0.027742821,0.10397282,0,-0.2041374,0.018543809,0.059599469,0.077016539,-0.010202236,0.050770325
class_7,0.1302517,-0.091078249,0.087359491,-0.01648236,0.23897638,0.27470362,-0.2041374,0,-0.1942931,-0.20694055,0.29867308,0.10537152,0.1188363
class_8,-0.19105754,0.1618573,-0.42671994,0.10313835,-0.18165834,-0.3221819,0.018543809,-0.1942931,0,0.92004255,-0.24004515,0.050999019,-0.15347639
class_9,-0.16252712,0.17131393,-0.42134377,0.11514111,-0.19680947,-0.33055803,0.059599469,-0.20694055,0.92004255,0,-0.28211118,0.092113606,-0.080054769
class_10,0.70345776,-0.097766774,-0.10161157,-0.13958546,0.77760976,0.82189706,0.077016539,0.29867308,-0.24004515,-0.28211118,0,-0.058801097,0.35914478
class_11,-0.20659023,0.19112283,0.11697767,0.66778227,-0.019607427,-0.016579434,-0.010202236,0.10537152,0.050999019,0.092113606,-0.058801097,0,-0.09693862
class_12,0.36183346,0.27295842,-0.13944203,-0.14923909,0.33166936,0.41963565,0.050770325,0.1188363,-0.15347639,-0.080054769,0.35914478,-0.09693862,0
