class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,qf_0,qf_1,qf_2,qf_3,qf_4,qf_5,qf_6,qf_7,qf_8,qf_9,qf_10,qf_11,qf_12,y,set,fold,row_id
2.1048896,-0.21672136,0.17014156,-2.769824,-5.55918,0.90245605,3.4684792,0.73645467,-0.12796772,-0.1439019,0.6748152,0.15156072,1.8830439,0.0,0.02734375,0.008300781,-0.0073242188,-0.0053710938,-0.005859375,-0.00048828125,-0.010253906,0.040527344,-0.0107421875,0.032714844,-0.009277344,0.027832031,1,train,0,0
-0.106898606,0.8664662,0.8467389,-2.609412,1.0327116,0.2750297,-0.22734345,3.2720962,-0.80352604,-0.6693696,1.099258,-0.092419185,0.39845246,0.0,0.010253906,0.013183594,-0.0087890625,0.0078125,0.037109375,-0.017578125,0.020507812,-0.024414062,0.0087890625,-0.018066406,-0.008300781,0.021484375,1,train,0,2
0.19066335,0.929541,-0.13075954,0.17173813,1.1798217,0.2957194,-0.2362307,2.0042753,-0.18598601,-0.19688863,1.1575241,0.0514565,0.594764,-0.021972656,0.00048828125,0.009277344,-0.005859375,0.022949219,0.0063476562,-0.009277344,0.04296875,0.044433594,0.013183594,0.012207031,0.009765625,0.01171875,1,train,0,3
1.3429743,-1.0100076,0.007985264,-2.42627,0.7267334,0.14271204,-0.26797086,-0.53136605,-0.3765281,-0.4757863,1.2001579,-3.403075,0.21531239,0.017089844,0.0014648438,0.011230469,0.024414062,0.018554688,0.036621094,-0.0053710938,-0.0014648438,-0.0107421875,-0.0126953125,0.026367188,0.037597656,-0.010253906,1,train,0,5
1.702686,-0.8523208,-0.75227475,-2.5076745,0.91711587,0.72202283,0.3312831,0.73645467,0.06173958,-0.103157595,0.09452226,-3.2688615,0.51836973,0.0078125,-0.0034179688,0.030761719,0.0009765625,-0.00048828125,0.036621094,0.0034179688,-0.0146484375,-0.0107421875,0.005859375,0.014160156,-0.008300781,0.0034179688,1,train,0,6
0.19681185,-1.292631,0.6122385,0.4988965,0.023727536,0.073425695,1.1704925,-1.1652764,-1.3183862,-0.9266517,0.45501444,0.2856354,-0.10881922,0.0087890625,0.0024414062,0.0063476562,0.0029296875,0.030273438,0.001953125,0.021972656,0.018554688,0.028320312,-0.011230469,0.0043945312,-0.0034179688,-0.0048828125,1,train,0,7
-0.65412486,-0.94814587,0.10563402,0.46296558,-0.9023612,-0.71374416,1.7964082,0.10254432,1.3268723,1.1287361,-0.45734814,0.340567,-2.8921132,-0.0078125,0.015625,-0.0126953125,-0.0009765625,0.014160156,0.027832031,0.016113281,0.016601562,-0.0068359375,-0.024902344,-0.0048828125,0.010253906,-0.026367188,1,train,0,8
-0.62246346,0.6323618,-0.35482362,-2.09808,-0.385693,-0.8345141,-1.9184585,2.0042753,0.035652217,-0.37287346,-0.641147,0.08825166,-0.4375322,-0.023925781,-0.001953125,-0.0078125,0.005859375,0.025390625,-0.029296875,-0.029785156,-0.0053710938,-0.014160156,0.040039062,0.009765625,0.026367188,0.0234375,1,train,0,10
0.17112306,-0.18639696,-0.054013785,0.45636898,0.28447178,0.19708256,0.7870716,2.0042753,-0.08247136,-0.07140381,0.7525034,0.25068706,-0.0956478,-0.01953125,0.005859375,0.0,0.019042969,0.018066406,0.0078125,0.009765625,-0.001953125,-0.010253906,-0.0024414062,0.024902344,0.0546875,-0.018554688,1,train,0,11
-0.2739638,-1.4782164,0.1442892,0.26019752,-0.30764842,-1.203079,0.5483857,-1.1652764,-0.28783107,-0.2917674,0.64734006,0.4495166,-1.1278294,-0.0146484375,0.0048828125,-0.0034179688,0.021484375,0.029296875,0.016601562,-0.018554688,0.01953125,-0.03515625,0.020507812,-0.0126953125,-0.0068359375,-0.0009765625,1,train,0,12
