class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,qf_0,qf_1,qf_2,qf_3,qf_4,qf_5,qf_6,qf_7,qf_8,qf_9,qf_10,qf_11,qf_12,y,set,fold,row_id
2.0248172,-0.20184915,0.2017561,-2.7814167,-5.02809,0.90382254,3.3207166,0.8689356,-0.16307442,-0.14948082,0.61548686,0.18544036,1.8248217,-0.025878906,-0.009765625,0.027832031,-0.0107421875,0.0234375,-0.029785156,0.009765625,0.014160156,0.015625,-0.005859375,-0.0078125,0.011230469,0.009765625,1,train,1,0
0.53414977,-1.4244252,-0.32818073,0.27434102,0.9406764,0.7111521,0.88160616,-0.43924215,1.2851597,1.0890048,0.86337566,0.21587849,-0.49605992,0.0024414062,0.0048828125,0.00390625,-0.021972656,0.01171875,0.015136719,-0.024902344,0.0,-0.00048828125,0.005859375,-0.03857422,0.0053710938,0.0073242188,1,train,1,1
0.16223904,0.94773734,-0.09596103,0.1683708,1.1165019,0.29337668,-0.25223732,2.1771133,-0.22120452,-0.20276763,1.1003213,0.08793609,0.57402986,0.0087890625,0.0146484375,-0.026367188,-0.018554688,0.017578125,0.03466797,0.009277344,0.044433594,0.009765625,0.0,0.0029296875,0.02734375,-0.0048828125,1,train,1,3
1.3170437,-0.96824014,-0.17363073,0.5604461,0.9036402,0.9449708,1.551382,-0.43924215,-0.7623581,-0.75506526,0.45895052,0.36335504,0.46560863,0.0043945312,0.0146484375,0.029785156,-0.01171875,-0.011230469,0.024414062,0.0390625,-0.022460938,-0.041992188,-0.028808594,-0.001953125,0.048339844,-0.0126953125,1,train,1,4
1.6334654,-0.8392918,-0.7108997,-2.5185342,0.87696797,0.7222863,0.29509318,0.8689356,0.02699846,-0.10850576,0.032638796,-3.1461453,0.49985862,-0.0024414062,-0.011230469,-0.01171875,-0.0126953125,0.0078125,0.036132812,0.028320312,0.00048828125,0.017089844,-0.016113281,0.038085938,0.029296875,-0.038085938,1,train,1,6
0.16822165,-1.280879,0.639175,0.496444,0.06238043,0.069724046,1.1044567,-1.093331,-1.355787,-0.9366636,0.3947183,0.3160328,-0.10907952,-0.018554688,0.0234375,0.015625,0.0043945312,-0.0087890625,0.0126953125,-0.001953125,0.022460938,-0.013183594,-0.005859375,0.018066406,0.008300781,-0.027832031,1,train,1,7
-0.65975577,-0.9353948,0.13793114,0.46041256,-0.7820232,-0.72225803,1.708112,0.2148467,1.2945693,1.1303645,-0.5216616,0.36953765,-2.8113816,-0.00048828125,0.0029296875,-0.015625,0.0034179688,0.0063476562,0.008300781,0.016113281,0.0034179688,-0.014160156,-0.025878906,0.032226562,-0.014160156,-0.0029296875,1,train,1,8
-0.30324382,-0.906199,0.18269993,-1.9074923,-0.33225483,-0.6428662,-0.11509858,0.8689356,0.21790774,0.07751715,-0.5749506,-2.4878612,-0.079388775,0.0024414062,0.009277344,0.022460938,0.010253906,0.03173828,0.03955078,0.028320312,-0.021484375,0.005859375,-0.0009765625,0.016601562,0.03125,-0.019042969,1,train,1,9
-0.6289486,0.6496964,-0.31765416,-2.1077943,-0.31092742,-0.8437663,-1.8746376,2.1771133,0.0008608249,-0.3797491,-0.7062698,0.12377559,-0.42822716,-0.009277344,0.0053710938,-0.008300781,-0.009277344,0.0024414062,0.010253906,0.0087890625,-0.0029296875,-0.013183594,0.017578125,0.0009765625,0.0146484375,-0.0024414062,1,train,1,10
-0.2898519,-1.4670025,0.17617728,0.25707754,-0.23976669,-1.2145844,0.50447464,-1.093331,-0.32324585,-0.29818374,0.58789074,0.47565758,-1.0984372,0.01171875,-0.0034179688,-0.0029296875,0.0043945312,0.019042969,0.032714844,-0.020507812,0.015136719,-0.02734375,-0.0014648438,0.00048828125,-0.03466797,-0.041503906,1,train,1,12
-0.5909225,0.23730506,0.44246194,0.45189825,-0.35250428,-0.4274432,-0.87548393,0.2148467,-1.0107702,-0.7119741,-0.57590216,0.37606028,0.033702914,-0.052734375,0.017089844,-0.0024414062,-0.0009765625,0.00048828125,-0.017089844,0.0087890625,-0.07324219,-0.060058594,-0.033691406,-0.017578125,0.005859375,-0.03125,1,train,1,13
1.2489808,-0.9341783,0.7014713,0.547214,0.1096245,-0.47778925,0.2448906,0.8689356,-0.58232206,-0.91973495,0.6611631,-2.7545898,0.671887,-0.015136719,0.0107421875,0.017578125,-0.044433594,0.024414062,-0.060546875,-0.023925781,-0.009277344,0.0009765625,0.016601562,0.041015625,-0.020996094,0.013671875,1,train,1,14
0.56236976,-0.96580714,-0.07577426,0.32034865,0.4825996,0.13943397,-0.5412082,-1.093331,0.17295101,0.9422255,0.6611631,0.19129746,-0.3529439,-0.012207031,-0.033691406,-0.0024414062,0.016601562,0.029785156,-0.03466797,-0.00048828125,-0.0029296875,0.021484375,0.0146484375,0.053710938,0.022460938,0.016113281,1,train,1,15
1.0072702,-0.8040135,-1.7531488,0.43754035,0.68609226,0.6845268,-0.6171243,-0.43924215,0.20640719,0.34452832,0.69208974,0.49461782,0.4722807,-0.0107421875,0.0068359375,-0.041992188,0.0048828125,0.05126953,-0.018554688,-0.0087890625,0.0053710938,0.013671875,-0.014160156,-0.01171875,-0.019042969,-0.010253906,1,train,1,16
0.5425102,0.25920194,-0.17046306,0.5139383,0.8896542,0.51170427,-0.9673179,0.2148467,-0.96184057,-0.77026254,0.75394297,0.2972245,0.6709974,-0.03857422,0.0034179688,-0.013671875,0.008300781,0.033203125,0.012207031,0.0009765625,0.00048828125,-0.045410156,-0.05810547,-0.0063476562,-0.052734375,-0.0234375,1,train,1,18
2.4926019,-0.28092122,-1.4116262,0.23752399,1.2185915,0.62933975,2.1917708,0.2148467,2.3170736,1.5214552,1.1107887,0.30169025,-2.8113816,-0.0029296875,0.013183594,-0.0048828125,-0.0126953125,0.008300781,0.0,0.0107421875,0.0029296875,-0.009277344,-0.0024414062,0.0146484375,-0.0126953125,0.009765625,1,train,1,19
1.1621426,1.1216959,0.014067706,0.37701285,1.230328,0.78328246,-0.1224453,0.8689356,-0.017121868,0.2192947,0.67496115,0.469569,0.61784315,-0.00048828125,0.0068359375,-0.036132812,0.03955078,0.027832031,-0.041503906,0.04736328,0.0073242188,0.05078125,-0.0048828125,0.0126953125,0.014160156,0.0009765625,1,train,1,20
-0.18669239,-0.040055495,0.03159189,0.22723596,0.16701408,-0.30835542,-0.9734402,0.2148467,0.021980034,0.66732717,0.11685439,0.38499665,-0.41188055,-0.06591797,0.030761719,-0.04345703,0.024902344,0.0053710938,-0.015625,0.04638672,-0.00390625,0.037109375,-0.024902344,-0.0014648438,0.017089844,-0.023925781,1,train,1,21
